,Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA,WCGS,WCR16,WCR8,WCR4,WCF,WC_Wins,iso_name,iso_alpha,iso_num,GFPG,GAPG,CS%,WC_GFPG,WC_GAPG
93,Mauritius,CAF,179,0.45,0.5,640.0,460.0,894.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mauritius,MUS,480.0,0.71875,1.396875,0.3046875,,
94,Chad,CAF,181,0.42,0.4,632.0,494.0,1163.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chad,TCD,148.0,0.7816455696202531,1.8401898734177216,0.21360759493670886,,
95,Sao Tome and Principe,CAF,183,0.33,0.32,392.0,235.0,828.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sao Tome and Principe,STP,678.0,0.5994897959183674,2.1122448979591835,0.14795918367346939,,
96,Djibouti,CAF,194,0.37,0.37,616.0,406.0,1100.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Djibouti,DJI,262.0,0.6590909090909091,1.7857142857142858,0.26136363636363635,,
97,Seychelles,CAF,196,0.29,0.29,436.0,221.0,870.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seychelles,SYC,690.0,0.5068807339449541,1.9954128440366972,0.19495412844036697,,
98,Somalia,CAF,202,0.3,0.3,617.0,370.0,1380.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Somalia,SOM,706.0,0.5996758508914101,2.2366288492706645,0.1993517017828201,,
99,Eritrea,CAF,204,0.27,0.28,425.0,232.0,868.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eritrea,ERI,232.0,0.5458823529411765,2.0423529411764707,0.21411764705882352,,
100,Mexico,CONCACAF,9,1.35,1.4,1806.0,2936.0,1219.0,942.0,400.0,398.0,400.0,99.0,54.0,21.0,9.0,2.0,1.0,Mexico,MEX,484.0,1.6256921373200444,0.6749723145071982,0.521594684385382,0.995,1.0
101,USA,CONCACAF,15,1.15,1.05,1796.0,2389.0,1567.0,810.0,374.0,375.0,473.0,91.0,40.0,19.0,9.0,5.0,1.0,United States of America (the),USA,840.0,1.3301781737193763,0.8724944320712695,0.4510022271714922,1.0026737967914439,1.2647058823529411
102,Costa Rica,CONCACAF,31,0.8,0.8,1531.0,1445.0,1767.0,512.0,67.0,44.0,124.0,21.0,2.0,1.0,0.0,0.0,0.0,Costa Rica,CRI,188.0,0.9438275636838668,1.1541476159372959,0.33442194644023515,0.6567164179104478,1.8507462686567164
103,Canada,CONCACAF,38,0.95,1.0,1689.0,1846.0,1598.0,684.0,251.0,177.0,371.0,74.0,16.0,3.0,2.0,0.0,0.0,Canada,CAN,124.0,1.0929544108940201,0.9461219656601539,0.4049733570159858,0.7051792828685259,1.4780876494023905
104,Panama,CONCACAF,61,0.7,0.7,1456.0,1155.0,1887.0,421.0,33.0,11.0,69.0,11.0,0.0,0.0,0.0,0.0,0.0,Panama,PAN,591.0,0.7932692307692307,1.2960164835164836,0.2891483516483517,0.3333333333333333,2.090909090909091
